Id,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,SalePrice
1,1,0,2,1,3,1,208500
2,0,1,2,0,3,1,181500
3,1,0,2,1,3,1,223500
4,1,0,1,0,3,1,140000
5,1,0,2,1,4,1,250000
6,1,0,1,1,1,1,143000
7,1,0,2,0,3,1,307000
8,1,0,2,1,3,1,200000
9,0,0,2,0,2,2,129900
10,1,0,1,0,2,2,118000
11,1,0,1,0,3,1,129500
12,1,0,3,0,4,1,345000
13,1,0,1,0,2,1,144000
14,0,0,2,0,3,1,279500
15,1,0,1,1,2,1,157000
16,0,0,1,0,2,1,132000
17,1,0,1,0,2,1,149000
18,0,0,2,0,2,2,90000
19,1,0,1,1,3,1,159000
20,0,0,1,0,3,1,139000
21,0,0,3,1,4,1,325300
22,0,0,1,0,3,1,139400
23,0,0,2,0,3,1,230000
24,1,0,1,0,3,1,129900
25,1,0,1,0,3,1,154000
26,0,0,2,0,3,1,256300
27,0,1,1,0,3,1,134800
28,1,0,2,0,3,1,306000
29,1,0,1,0,2,1,207500
30,0,0,1,0,1,1,68500
31,0,0,1,0,3,1,40000
32,0,0,1,1,3,1,149350
33,0,0,2,0,3,1,179900
34,0,1,1,1,4,1,165500
35,1,0,2,0,2,1,277500
36,0,0,3,1,4,1,309000
37,0,0,1,1,3,1,145000
38,0,1,1,0,3,1,153000
39,1,0,1,0,3,1,109000
40,0,0,2,0,2,2,82000
41,0,0,2,0,3,1,160000
42,0,1,1,1,2,1,170000
43,1,0,1,0,2,1,144000
44,1,0,1,0,3,1,130250
45,1,0,1,0,3,1,141000
46,1,0,2,0,2,1,319900
47,1,0,1,1,1,1,239686
48,0,0,2,0,3,1,249700
49,0,0,2,0,2,3,113000
50,1,0,1,0,3,1,127000
51,0,1,2,0,3,1,177000
52,0,0,1,0,3,1,114500
53,1,0,1,0,2,1,110000
54,2,0,0,1,0,1,385000
55,0,0,1,0,3,1,130000
56,0,0,2,0,3,1,180500
57,1,0,2,1,3,1,172500
58,0,0,2,1,3,1,196500
59,0,0,3,1,3,1,438780
60,0,0,1,0,2,1,124900
61,1,0,1,1,3,1,158000
62,0,0,1,0,3,1,101000
63,0,0,2,0,2,1,202500
64,0,0,2,0,3,1,140000
65,1,0,2,1,3,1,219500
66,0,0,2,1,4,1,317000
67,1,0,2,0,3,1,180000
68,1,0,2,0,3,1,226000
69,0,0,1,0,2,1,80000
70,0,0,2,0,3,1,225000
71,1,0,2,0,3,1,244000
72,1,0,1,0,2,1,129500
73,0,0,2,1,3,1,185000
74,1,0,1,0,3,1,144900
75,0,0,2,0,3,2,107400
76,1,0,1,0,2,1,91000
77,0,0,1,0,2,1,135750
78,1,0,1,0,2,1,127000
79,0,0,2,0,4,2,136500
80,0,0,1,1,2,1,110000
81,0,0,2,1,4,1,193500
82,1,0,2,0,2,1,153500
83,0,0,2,0,3,1,245000
84,0,0,1,1,3,1,126500
85,0,0,2,1,3,1,168500
86,0,0,2,1,4,1,260000
87,0,0,2,1,3,1,174000
88,0,0,2,1,2,1,164500
89,0,0,1,0,2,1,85000
90,1,0,1,0,3,1,123600
91,0,0,1,0,2,1,109900
92,0,0,1,0,2,1,98600
93,1,0,1,0,2,1,163500
94,0,1,2,0,4,2,133900
95,1,0,2,1,3,1,204750
96,0,0,2,1,3,1,185000
97,0,0,2,0,3,1,214000
98,1,0,1,0,3,1,94750
99,0,0,1,0,2,1,83000
100,1,0,1,1,3,1,128950
101,1,0,2,0,3,1,205000
102,0,0,2,1,3,1,178000
103,0,0,2,0,4,2,118964
104,0,0,2,0,3,1,198900
105,0,0,1,1,4,1,169500
106,0,0,2,1,3,1,250000
107,0,0,1,0,2,1,100000
108,0,0,1,0,2,1,115000
109,0,0,2,0,3,1,115000
110,0,0,2,0,3,1,190000
111,0,0,2,0,4,1,136900
112,0,0,2,1,3,1,180000
113,1,0,2,1,4,1,383970
114,1,0,2,0,3,1,217000
115,1,0,2,1,3,1,259500
116,0,0,2,1,2,1,176000
117,0,1,1,0,3,1,139000
118,0,0,1,1,2,1,155000
119,1,0,3,0,5,1,320000
120,0,0,2,1,3,1,163990
121,1,0,1,0,1,1,180000
122,0,0,1,0,3,1,100000
123,0,0,1,0,3,1,136000
124,0,0,2,0,2,1,153900
125,0,0,2,0,3,1,181000
126,1,0,1,0,2,1,84500
127,0,0,2,0,2,1,128000
128,0,0,1,0,3,1,87000
129,0,0,1,1,3,1,155000
130,0,1,1,1,3,1,150000
131,0,0,2,1,4,1,226000
132,1,0,2,1,3,1,244000
133,1,0,1,0,3,1,150750
134,1,0,2,0,2,1,220000
135,0,0,2,1,3,1,180000
136,0,0,2,0,3,1,174000
137,0,0,2,0,3,1,143000
138,0,0,3,0,5,2,171000
139,0,0,2,1,3,1,230000
140,1,0,2,1,3,1,231500
141,0,0,1,0,3,1,115000
142,1,0,2,0,3,1,260000
143,0,0,2,0,4,1,166000
144,1,0,2,0,3,1,204000
145,1,0,2,0,6,2,125000
146,0,0,2,0,3,1,130000
147,1,0,1,0,2,1,105000
148,0,0,2,1,3,1,222500
149,1,0,1,0,3,1,141000
150,0,0,1,0,3,1,115000
151,0,0,1,1,3,1,122000
152,1,0,2,0,2,1,372402
153,0,0,2,1,4,1,190000
154,1,0,1,0,1,1,235000
155,0,0,1,0,4,1,125000
156,0,0,1,0,2,1,79000
157,0,0,1,0,2,1,109500
158,0,0,2,1,4,1,269500
159,0,0,2,1,3,1,254900
160,1,0,2,1,4,1,320000
161,0,0,2,0,3,1,162500
162,1,0,2,1,3,1,412500
163,0,0,2,0,3,1,220000
